Gender	Word	origin	fastText_small_heShe	fastText_small_boluk	fastText_large_heShe	fastText_large_boluk	GloVe_small_heShe	GloVe_small_boluk	GloVe_large_heShe	GloVe_large_boluk	sum_all	WB 2017	WB 2019	2019
female	nurse	WiGe_WiBi_Garg	-1	-1	-0.81005	-1	-0.77897	-1	-1	-1	-0.94863	90		
female	housekeeper	WiGe_WiBi_Garg	-0.69007	-0.96079	-0.63519	-0.9893	-0.74269	-0.97524	-0.61803	-0.72688	-0.79227		89	
female	dietitian	WiGe_WiBi_Garg	-0.87976	-0.79558	-0.89498	-0.80122	-1	-0.70445	-0.73063	-0.52113	-0.79097			92
female	receptionist	WiGe_WiBi_Garg	-0.80142	-0.65197	-0.80027	-0.72569	-0.68282	-0.75566	-0.60764	-0.51024	-0.69196		89	
female	paralegal	WiGe_WiBi_Garg	-0.97945	-0.52495	-1	-0.77911	-0.43501	-0.23755	-0.32626	-0.17489	-0.55715			90
female	dancer	WiGe_WiBi_Garg	-0.48093	-0.36396	-0.50564	-0.49723	-0.61371	-0.42994	-0.62881	-0.44552	-0.49572			
female	librarian	WiGe_WiBi_Garg	-0.32774	-0.4036	-0.7224	-0.6352	-0.31407	-0.4897	-0.53911	-0.52867	-0.49506		80	
female	nutritionist	WiGe_WiBi_Garg	-0.46043	-0.35752	-0.66342	-0.54112	-0.53648	-0.34955	-0.50178	-0.26268	-0.45912			92
female	therapist	WiGe_WiBi_Garg	-0.42294	-0.22476	-0.45173	-0.29045	-0.53525	-0.40066	-0.57551	-0.35307	-0.4068			
female	hairdresser	WiGe_WiBi_Garg	-0.32172	-0.17126	-0.54771	-0.43498	-0.61043	-0.26259	-0.48149	-0.23001	-0.38252		92	
female	hygienist	WiGe_WiBi_Garg	-0.11118	-0.28018	-0.67959	-0.78959	-0.33644	-0.04764	-0.50621	-0.23787	-0.37359			
female	attendant	WiGe_WiBi_Garg	-0.03321	-0.12222	-0.26801	-0.19019	-0.28256	-0.50485	-0.3402	-0.30129	-0.25532	76		
female	cook	WiGe_WiBi_Garg	-0.16871	-0.19783	-0.22796	-0.46913	-0.09308	0.02219	-0.20212	-0.13559	-0.18403		42	
female	teacher	WiGe_WiBi_Garg	-0.0391	0.11747	-0.29705	-0.36332	-0.00302	-0.28781	-0.25241	-0.24401	-0.17116	78		
female	cashier	WiGe_WiBi_Garg	-0.44141	-0.06124	-0.51207	-0.18413	-0.04944	-0.00833	-0.14698	0.09694	-0.16333		71	
female	educator	WiGe_WiBi_Garg	-0.07717	-0.06757	-0.19155	-0.36116	-0.14335	-0.0911	-0.13958	-0.06631	-0.14222			
female	designer	WiGe_WiBi_Garg	0.22227	0.00796	-0.27672	-0.26127	-0.29084	-0.0865	-0.18985	-0.14004	-0.12687		54	
female	counselor	WiGe_WiBi_Garg	-0.20467	0.28983	-0.26646	-0.1034	-0.16539	-0.13048	-0.30461	-0.09417	-0.12242		76	
female	psychologist	WiGe_WiBi_Garg	-0.02329	0.16919	-0.14831	-0.04717	-0.21655	-0.13132	-0.07274	0.07713	-0.04913			80
female	practitioner	WiGe_WiBi_Garg	-0.14738	0.19516	-0.25583	-0.12812	0.02841	-0.03628	-0.03741	0.05681	-0.04058			
female	planner	WiGe_WiBi_Garg	0.18551	0.14772	-0.39078	-0.30425	0.16229	0.20338	-0.12764	-0.19853	-0.04029			79
female	salesperson	WiGe_WiBi_Garg	-0.57306	-0.04403	-0.22218	0.0689	-0.06092	0.08677	0.10318	0.4602	-0.02264	48		
female	cleaner	WiGe_WiBi_Garg	-0.12598	-0.11418	-0.14894	-0.08583	0.19173	0.03299	0.08247	0.03073	-0.01713		89	
female	secretary	WiGe_WiBi_Garg	-0.04875	0.04601	-0.39915	-0.40008	0.54233	0.31272	0.06667	-0.07649	0.00541		93	
female	supervisor	WiGe_WiBi_Garg	0.01394	0.29987	-0.20426	-0.00281	-0.19645	-0.06089	0.1297	0.27786	0.03212	44		
female	dispatcher	WiGe_WiBi_Garg	-0.36541	0.13963	-0.17048	0.03447	0.01551	0.18108	0.1506	0.27166	0.03213			53
