occupation	fem1 fem2 ... femx	male1 male2 ... malex	neutral	inconclusiveORwrong
accountant	Buchhalterin, Steuerberaterin, Wirtschaftsprüferin	Buchhalter, Steuerberater, Wirtschaftsprüfer		Anwalt, Buchhalterund, Buchhalterund, Kassenprüfer, Schichtbuchhalter, Verwalter
administrator	Administratorin, Verwalterin	Administrator, Verwalter		
advisor	Beraterin	Berater		Beratenden
analyst	Analystin, Analytikerin	Analyst, Analysten, Analytiker		Analystenbericht, Analystenbüro, Analystenpapiere, Analytikerbezahlt, Schichtanalytiker, Schurkenanalytiker, debonairAnalyst, debonairAnalytiker, enther tentheher, suaveAnalyst, suaveAnalysten, suaveAnalytiker, verführerische Analytikerbüro
appraiser	Gutachterin	Gutachter		Beurteiler, Prüfer
architect	Architektin	Architekt		
artist	Künstlerin	Künstler		
assistant	Assistentin, Gehilfin, Helferin	Assistent, Assistenten, Gehilfen, Helfer		SaucyAssistenten, Schaltassistent, Schaltassistenten, Schichtassistent, Schichtassistenten, Schichthelfer, Schlingelassistent, Schlingelassistenten, Schurkenassistent, Schurkenassistenten, Umzugshelfer, debonairAssistent, jovialassistenten, perkyAssistent, saucyAssistent, suaveAssistent
athlete	Athletin, Sportlerin	Athlet, Sportler		
attendant	Aufseherin, Begleiterin, Dienerin, Flugbegleiterin, Pflegerin, Teilnehmerin, Wärterin, der Bediensteten, die Anwesende, die Bedienstete	Aufseher, Begleiter, Diener, Flugbegleiter, Pfleger, Teilnehmer, Wärter, dem Anwesenden, den Anwesenden, der Anwesende, der Bedienstete	Bedienung, Begleitperson	Anwältin, Arbeiter beneidete den job und erzählte es ihm, Bediensteten, Begleitduschen, Begleiterunbesetzt, Begleiterzum, Betreuer, Bäuerin, DebonairMitarbeiter, Drahtzieher, DrahtzieherJob, GrimmBetreuer, GrizzlyBedienstete, GrizzlyBediensteten, GrizzlyBegleiter, GrizzlyBetreuer, Mitarbeiter, SaucyBetreuer, SaucyBetreuerJob, Schichtarbeiter, Schichtbegleiter, Schichtwächter, Schichtwärter, Telefonist, Telefonzentrale, Umzugsbegleiterin, Umzugshelfer, Verkäufer, attendant, damit verbundenen Sanktionen, dazugehörigen Duschen, debonairBegleiter, flugbegleitende Dame, jobvoll, lebhaften Nebenberuf, Ärztin
auditor	Abschlussprüferin, Auditorin, Buchprüferin, Kassenprüferin, Prüferin, Rechnungsprüferin, Revisorin, Wirtschaftsprüferin	Abschlussprüfer, Auditor, Buchprüfer, Kassenprüfer, Prüfer, Rechnungsprüfer, Revisor, Wirtschaftsprüfer, kassenprüfer, prüfer		Auditoriums, Prügel, Schichtaudit, Schichtauditorin, Schichtprüfer, Schichtprüferin, Schichtprüfers, Schlingelprüfer, Schurkenprüfer, grizzled auditor, suaveAuditor
author	Autorin	Autor		
baker	Bäckerin, bäckerin	Bäcker, bäcker		Bäckergeld, Bäckerküche, Bäckerwartin, GrizzlyBäcker, Randale, RandaleBäcker, Rasenbäcker, Schichtbäcker, bäckerins, bäckerischen, bäckermeister, jovialbäcker, liebenBäcker, schronenBäcker, schronenbäcker
bartender	Barkeeperin	Barkeeper		
